pumpModel,pumpWeight,pumpLength_mm
ЭЦН5-15-1200,232,6760
ЭЦН5-15-1450,276,7760
ЭЦН5-15-1650,316,8760
ЭЦН5-15-1850,360,9760
ЭЦН5-15-2100,400,10760
ЭЦН5-15-2250,436,12125
ЭЦН5-15-2500,480,13125
ЭЦН5-15-2700,516,14125
ЭЦН5-15-2900,560,15125
ЭЦН5-15-3100,600,16125
ЭЦН5-15-1250,232,6434
ЭЦН5-15-1900,360,9434
ЭЦН5-15-2300,436,11640
ЭЦН5-15-2950,560,14640
ЭЦН5-15-3150,600,15640
ЭЦН5-20-1150,232,6760
ЭЦН5-20-1350,276,7760
ЭЦН5-20-1550,316,8760
ЭЦН5-20-1750,360,9760
ЭЦН5-20-1950,400,10760
ЭЦН5-20-2100,436,12125
ЭЦН5-20-2350,480,13125
ЭЦН5-20-2550,516,14125
ЭЦН5-20-2750,560,15125
ЭЦН5-20-2950,600,16125
ЭЦН5-20-2000,400,10434
ЭЦН5-20-2150,436,11640
ЭЦН5-25-1300,232,6760
ЭЦН5-25-1550,276,7760
ЭЦН5-25-1750,316,8760
ЭЦН5-25-2000,360,9760
ЭЦН5-25-2250,400,10760
ЭЦН5-25-2400,436,12125
ЭЦН5-25-2650,480,13125
ЭЦН5-25-2900,516,14125
ЭЦН5-25-3100,560,15125
ЭЦН5-25-1800,316,8434
ЭЦН5-25-2450,436,11640
ЭЦН5-25-2700,480,12640
ЭЦН5-25-3150,560,14640
ЭЦН5-30-1050,239,7107
ЭЦН5-30-1250,272,8107
ЭЦН5-30-1450,302,9107
ЭЦН5-30-1600,337,10107
ЭЦН5-30-1800,369,11107
ЭЦН5-30-2000,418,12472
ЭЦН5-30-2250,450,13472
ЭЦН5-30-2450,472,14472
ЭЦН5-30-2600,514,15472
ЭЦН5-30-2800,546,16472
ЭЦН5-30-2950,562,17837
ЭЦН5-30-750,161,4742
ЭЦН5-30-900,189,5742
ЭЦН5-30-2150,450,13472
ЭЦН5-30-2350,472,14472
ЭЦН5-30-2500,514,15472
ЭЦН5-30-2700,546,16472
ЭЦН5-30-2850,562,17837
ЭЦН5-30-3050,660,18837
ЭЦН5-30-950,181,5455
ЭЦН5-30-1100,228,6820
ЭЦН5-30-1300,261,7820
ЭЦН5-30-1500,294,8820
ЭЦН5-30-1700,326,9820
ЭЦН5-30-1900,358,10820
ЭЦН5-30-2050,406,12185
ЭЦН5-30-2650,503,15185
ЭЦН5-30-3000,584,17550
ЭЦН5-30-3200,616,18550
ЭЦН5-30-1650,326,9820
ЭЦН5-30-1850,358,10820
ЭЦН5-30-2200,439,13185
ЭЦН5-30-2550,503,15185
ЭЦН5-30-2750,535,16185
ЭЦН5-30-2900,584,17550
ЭЦН5-30-3100,616,18550
ЭЦН5-30-1200,306,9107
ЭЦН5-30-1400,338,10107
ЭЦН5-30-1550,369,11107
ЭЦН5-30-2300,546,16472
ЭЦН5-30-1350,337,10107
ЭЦН5-30-1750,450,13472
ЭЦН5-30-1950,482,14472
ЭЦН5-30-2100,510,15472
ЭЦН5-30-2400,555,16852
ЭЦН5-35-1250,232,6760
ЭЦН5-35-1450,276,7760
ЭЦН5-35-1700,316,8760
ЭЦН5-35-1900,360,9760
ЭЦН5-35-2150,400,10760
ЭЦН5-35-2300,436,12125
ЭЦН5-35-2550,480,13125
ЭЦН5-35-2750,516,14125
ЭЦН5-35-3000,560,15125
ЭЦН5-35-3200,600,16125
ЭЦН5-35-1500,276,7434
ЭЦН5-35-1950,360,9434
ЭЦН5-35-2350,436,11640
ЭЦН5-35-2800,516,13640
ЭЦН5-35-3250,600,15640
ЭЦН5-50-1100,232,6760
ЭЦН5-50-1300,276,7760
ЭЦН5-50-1500,316,8760
ЭЦН5-50-1650,360,9760
ЭЦН5-50-1850,400,10760
ЭЦН5-50-2000,436,12125
ЭЦН5-50-2200,480,13125
ЭЦН5-50-2400,516,14125
ЭЦН5-50-1600,560,15125
ЭЦН5-50-2800,600,16125
ЭЦН5-50-1700,360,9434
ЭЦН5-50-1900,400,10434
ЭЦН5-50-2050,436,11640
ЭЦН5-50-2250,480,12640
ЭЦН5-50-2650,516,13640
ЭЦН5-50-2850,560,14640
ЭЦН5-50-1108,600,15640
ЭЦН5-50-1000,174,5652
ЭЦН5-50-1550,276,9107
ЭЦН5-50-2150,377,12472
ЭЦН5-50-2350,406,13472
ЭЦН5-50-2550,434,14472
ЭЦН5-50-2750,462,15472
ЭЦН5-50-2950,490,16472
ЭЦН5-50-2450,434,14472
ЭЦН5-50-3000,537,17837
ЭЦН5-50-1150,206,6820
ЭЦН5-50-1400,235,7820
ЭЦН5-50-1800,292,9820
ЭЦН5-50-2600,422,14185
ЭЦН5-50-3150,636,17550
ЭЦН5-50-950,162,5455
ЭЦН5-50-1350,235,7820
ЭЦН5-50-1750,292,9820
ЭЦН5-50-2100,365,12185
ЭЦН5-50-2300,394,13185
ЭЦН5-50-2500,422,14185
ЭЦН5-50-2700,450,15185
ЭЦН5-50-2900,478,16185
ЭЦН5-50-3050,636,17550
ЭЦН5-50-1250,317,9107
ЭЦН5-50-1200,352,9107
ЭЦН5-50-1450,283,8436
ЭЦН5-60-950,232,6760
ЭЦН5-60-1150,276,7760
ЭЦН5-60-1300,316,8760
ЭЦН5-60-1500,360,9760
ЭЦН5-60-1650,400,10760
ЭЦН5-60-1800,436,12125
ЭЦН5-60-2000,480,13125
ЭЦН5-60-2150,516,14125
ЭЦН5-60-2350,560,15125
ЭЦН5-60-2500,600,16125
ЭЦН5-60-1000,232,6434
ЭЦН5-60-1350,316,8434
ЭЦН5-60-1700,400,10434
ЭЦН5-60-1850,436,11640
ЭЦН5-60-2200,516,13640
ЭЦН5-60-2550,600,15640
ЭЦН5-80-1050,243,7107
ЭЦН5-80-1200,276,8107
ЭЦН5-80-1400,309,9107
ЭЦН5-80-1550,342,10107
ЭЦН5-80-1800,375,11107
ЭЦН5-80-2000,423,12472
ЭЦН5-80-2150,456,13472
ЭЦН5-80-2350,489,14472
ЭЦН5-80-2500,522,15472
ЭЦН5-80-2700,555,16472
ЭЦН5-80-2850,604,17837
ЭЦН5-80-3050,637,18837
ЭЦН5-80-900,195,5742
ЭЦН5-80-2050,456,13472
ЭЦН5-80-2250,489,14472
ЭЦН5-80-2400,522,15472
ЭЦН5-80-2600,555,16472
ЭЦН5-80-2750,604,17837
ЭЦН5-80-2900,637,18837
ЭЦН5-80-3100,670,19837
ЭЦН5-80-1250,264,7820
ЭЦН5-80-1450,297,8820
ЭЦН5-80-1650,330,9820
ЭЦН5-80-1950,411,12185
ЭЦН5-80-2550,510,15185
ЭЦН5-80-3250,657,19550
ЭЦН5-80-850,183,5455
ЭЦН5-80-1750,363,10820
ЭЦН5-80-1900,411,12185
ЭЦН5-80-2100,444,13185
ЭЦН5-80-2450,510,15185
ЭЦН5-80-2650,543,16185
ЭЦН5-80-2800,591,17550
ЭЦН5-80-2950,624,18550
ЭЦН5-80-3150,657,19550
ЭЦН5-80-1150,349,9107
ЭЦН5-80-1300,390,10107
ЭЦН5-80-2200,644,16472
ЭЦН5-80-2300,692,17837
ЭЦН5-80-1100,382,9107
ЭЦН5-80-1500,525,12472
ЭЦН5-80-1700,560,13472
ЭЦН5-80-1600,375,11644
ЭЦН5-80-1850,438,13644
ЭЦН5-125-750,198,5742
ЭЦН5-125-850,247,7107
ЭЦН5-125-1000,281,8107
ЭЦН5-125-1200,315,9107
ЭЦН5-125-1300,348,10107
ЭЦН5-125-1500,381,11107
ЭЦН5-125-1600,431,12472
ЭЦН5-125-1800,465,13472
ЭЦН5-125-1900,498,14472
ЭЦН5-125-2050,531,15472
ЭЦН5-125-2250,564,16472
ЭЦН5-125-2350,616,17837
ЭЦН5-125-2500,649,18837
ЭЦН5-125-2650,682,19837
ЭЦН5-125-2800,715,20837
ЭЦН5-125-2950,748,21837
ЭЦН5-125-900,235,6820
ЭЦН5-125-1050,269,7820
ЭЦН5-125-1350,336,9820
ЭЦН5-125-1650,419,12185
ЭЦН5-125-1950,486,14185
ЭЦН5-125-2100,519,15185
ЭЦН5-125-2300,603,17550
ЭЦН5-125-2550,636,18550
ЭЦН5-125-2700,672,19550
ЭЦН5-125-2850,702,20550
ЭЦН5-125-3000,735,21550
ЭЦН5-125-3100,786,29915
ЭЦН5-125-2400,607,17837
ЭЦН5-125-2900,652,20837
