NKT,NAME,DU,S,DNKT,DNKT0,QNKT,SOS,SOS,FMAX,PIZB,PRICE_UE,PRICE_CORR,LIQ
1,нет,0,0,0,0,0,0,0,0,0,0,,0
2,"33x3,5-Д",33,3.5,0.0334,0.0264,2.64,0.55,2.03,67,69.4,36.5,,0.55
3,"33x3,5-К",33,3.5,0.0334,0.0264,2.64,0.55,2.03,87,91,36.5,,0.55
4,"33x3,5-Е",33,3.5,0.0334,0.0264,2.64,0.55,2.03,98,102.5,36.5,,0.55
5,"33x3,5-Л",33,3.5,0.0334,0.0264,2.64,0.55,2.03,116,121.4,36.5,,0.55
6,"33x3,5-М",33,3.5,0.0334,0.0264,2.64,0.55,2.03,128,134.5,36.5,,0.55
7,"42x3,5-Д",42,3.5,0.0422,0.0352,3.37,0.97,2.53,84,54.3,45.5,,0.97
8,"42x3,5-К",42,3.5,0.0422,0.0352,3.37,0.97,2.53,109,71.5,45.5,,0.97
9,"42x3,5-Е",42,3.5,0.0422,0.0352,3.37,0.97,2.53,122,80.5,45.5,,0.97
10,"42x3,5-Л",42,3.5,0.0422,0.0352,3.37,0.97,2.53,145,95.3,45.5,,0.97
11,"42x3,5-М",42,3.5,0.0422,0.0352,3.37,0.97,2.53,160,105.5,45.5,,0.97
12,"48x4,0-Д",48,4,0.0483,0.0403,4.45,1.27,3.46,113,54.3,52,,1.27
13,"48x4,0-К",48,4,0.0483,0.0403,4.45,1.27,3.46,148,71.5,52,,1.27
14,"48x4,0-Е",48,4,0.0483,0.0403,4.45,1.27,3.46,160,80.5,52,,1.27
15,"48x4,0-Л",48,4,0.0483,0.0403,4.45,1.27,3.46,192,95.3,52,,1.27
16,"48x4,0-М",48,4,0.0483,0.0403,4.45,1.27,3.46,222,105.5,52,,1.27
17,"60x3,8-Д",60,3.8,0.0603,0.0527,5.4,2.18,4.13,133,41.1,63.8,,2.18
18,"60x3,8-К",60,3.8,0.0603,0.0527,5.4,2.18,4.13,176,54.1,63.8,,2.18
19,"60x3,8-Е",60,3.8,0.0603,0.0527,5.4,2.18,4.13,197,60.9,63.8,,2.18
20,"60x4,2-Д_рем",60,4.2,0.0603,0.0519,5.92,2.11,4.79,154,45.5,64.2,,2.11
21,"60x4,2-К_рем",60,4.2,0.0603,0.0519,5.92,2.11,4.79,203,59.8,64.2,476,2.11
22,"60x4,2-Е_рем",60,4.2,0.0603,0.0519,5.92,2.11,4.79,228,67.3,64.2,476,2.11
23,"60x5,0-Д",60,5,0.0603,0.0503,6.95,1.99,6.09,196,54.3,65,,1.99
24,"60x5,0-К",60,5,0.0603,0.0503,6.95,1.99,6.09,250,71.5,65,476,1.99
25,"60x5,0-Е",60,5,0.0603,0.0503,6.95,1.99,6.09,285,80.5,65,476,1.99
26,"60x5,0-Л",60,5,0.0603,0.0503,6.95,1.99,6.09,337,95.3,65,,1.99
27,"60x5,0-М",60,5,0.0603,0.0503,6.95,1.99,6.09,388,105.5,65,,1.99
28,"60x5,0-H 40",60,5,0.0603,0.0503,6.95,1.99,6.09,134,39,65,,1.99
29,"60x5,0-J 55",60,5,0.0603,0.0503,6.95,1.99,6.09,184,53,65,,1.99
30,"60x5,0-N 80",60,5,0.0603,0.0503,6.95,1.99,6.09,268,77,65,,1.99
31,"60x5,0-В-H 40",60,4.83,0.0603,0.0564,6.99,2.5,6.09,232,39,65,,2.5
32,"60x5,0-В-J 55",60,4.83,0.0603,0.0564,6.99,2.5,6.09,319,53,65,,2.5
33,"60x5,0-В-N 80",60,4.83,0.0603,0.0564,6.99,2.5,6.09,464,77,65,,2.5
34,"73x4,2-Д",73,4.2,0.073,0.0646,7.38,3.28,5.9,192.6,37.6,77.2,,3.28
35,"73x4,2-К",73,4.2,0.073,0.0646,7.38,3.28,5.9,253.4,49.4,77.2,,3.28
36,"73x4,2-Е",73,4.2,0.073,0.0646,7.38,3.28,5.9,284.8,55.6,77.2,,3.28
37,"73x4,6-Д_рем",73,4.6,0.073,0.0638,8.03,3.2,6.71,218,41.1,77.6,,3.2
38,"73x4,6-К_рем",73,4.6,0.073,0.0638,8.03,3.2,6.71,287,54.1,77.6,574,3.2
39,"73x4,6-Е_рем",73,4.6,0.073,0.0638,8.03,3.2,6.71,323,60.9,77.6,619,3.2
40,"73x5,5-Д",73,5.5,0.073,0.062,9.48,3.02,8.51,278,49.2,78.5,,3.02
41,"73x5,5-К",73,5.5,0.073,0.062,9.48,3.02,8.51,365,64.8,78.5,574,3.02
42,"73x5,5-Е",73,5.5,0.073,0.062,9.48,3.02,8.51,402,72.8,78.5,619,3.02
43,"73x5,5-Л",73,5.5,0.073,0.062,9.48,3.02,8.51,476,86.2,78.5,,3.02
44,"73x5,5-М",73,5.5,0.073,0.062,9.48,3.02,8.51,540,95.6,78.5,,3.02
45,"73x5,5-Н 40",73,5.5,0.073,0.062,9.48,3.02,8.51,234,36,78.5,,3.02
46,"73x5,5-J 55",73,5.5,0.073,0.062,9.48,3.02,8.51,322,50,78.5,,3.02
47,"73x5,5-N 80",73,5.5,0.073,0.062,9.48,3.02,8.51,469,73,78.5,,3.02
48,"73x5,5- В-Н 40",73,5.5,0.073,0.062,9.64,3.02,8.51,322,36,78.5,,3.02
49,"73x5,5- В-J 55",73,5.5,0.073,0.062,9.64,3.02,8.51,443,50,78.5,,3.02
50,"73x5,5- В-N 80",73,5.5,0.073,0.062,9.64,3.02,8.51,645,73,78.5,,3.02
51,"73x7,01- В-N 80",73,7,0.073,0.059,11.45,2.73,11.36,802,93,80.01,,2.73
52,"73x7,0-Д",73,7,0.073,0.059,11.68,2.73,11.36,370,62.6,80,,2.73
53,"73x7,0-К",73,7,0.073,0.059,11.68,2.73,11.36,486,82.4,80,711,2.73
54,"73x7,0-Е",73,7,0.073,0.059,11.68,2.73,11.36,535,92.7,80,711,2.73
55,"73x7,0-Л",73,7,0.073,0.059,11.68,2.73,11.36,636,109.8,80,,2.73
56,"73x7,0-М",73,7,0.073,0.059,11.68,2.73,11.36,730,121.6,80,,2.73
57,"73x7,0-N 80",73,7,0.073,0.059,11.68,2.73,11.36,709,93,80,,2.73
58,"73х6,1-К_рем",73,6.1,0.073,0.0608,10.32,2.9,11.36,411.1,71.8,0,711,2.9
59,"89x5,0-Д",89,5,0.0889,0.0789,10.71,4.89,9.29,299.9,47.6,94,,4.89
60,"89x5,0-К",89,5,0.0889,0.0789,10.71,4.89,9.29,394.7,62.7,94,,4.89
61,"89x5,0-Е",89,5,0.0889,0.0789,10.71,4.89,9.29,443.6,70.5,94,,4.89
62,"89x5,5-Д_рем",89,5.5,0.0889,0.0779,11.72,4.76,10.52,339,47.6,94.5,,4.76
63,"89x5,5-К_рем",89,5.5,0.0889,0.0779,11.72,4.76,10.52,446.1,62.7,94.5,864,4.76
64,"89x5,5-Е_рем",89,5.5,0.0889,0.0779,11.72,4.76,10.52,501.4,70.5,94.5,864,4.76
65,"89x6,5-Д",89,6.5,0.0889,0.0759,13.68,4.52,12.82,415,47.6,95.5,,4.52
66,"89x6,5-К",89,6.5,0.0889,0.0759,13.68,4.52,12.82,546,62.7,95.5,864,4.52
67,"89x6,5-Е",89,6.5,0.0889,0.0759,13.68,4.52,12.82,620,70.5,95.5,864,4.52
68,"89x6,5-Л",89,6.5,0.0889,0.0759,13.68,4.52,12.82,710,83.5,95.5,,4.52
69,"89x6,5-М",89,6.5,0.0889,0.0759,13.68,4.52,12.82,820,92.6,95.5,,4.52
70,"89x6,45-H 40",89,6.45,0.0889,0.076,13.69,4.53,12.83,354,35,95.45,,4.53
71,"89x6,45-J 55",89,6.45,0.0889,0.076,13.69,4.53,12.83,637,48,95.45,,4.53
72,"89x6,45-N 80",89,6.45,0.0889,0.076,13.69,4.53,12.83,922,70,95.45,,4.53
73,"89x7,34-N 80",89,7.34,0.0889,0.0742,14.8,4.32,12.83,1038,80,96.34,,4.32
74,"102x9,0-Д",102,9,0.1016,0.0836,15.8,5.49,13.74,440,41.6,111,,5.49
75,"102x9,0-К",102,9,0.1016,0.0836,15.8,5.49,13.74,580,55,111,,5.49
76,"102x9,0-Е",102,9,0.1016,0.0836,15.8,5.49,13.74,640,60.4,111,,5.49
77,"102x9,0-Л",102,9,0.1016,0.0836,15.8,5.49,13.74,755,71.4,111,,5.49
78,"102x9,0-М",102,9,0.1016,0.0836,15.8,5.49,13.74,870,82.4,111,,5.49
79,"114x7,0-Д",114,7,0.1143,0.1003,19.19,7.9,17.19,545,40,121,,7.9
80,"114x7,0-К",114,7,0.1143,0.1003,19.19,7.9,17.19,717,52.5,121,,7.9
81,"114x7,0-Е",114,7,0.1143,0.1003,19.19,7.9,17.19,833,57.7,121,,7.9
82,"114x7,0-Л",114,7,0.1143,0.1003,19.19,7.9,17.19,932,68.5,121,,7.9
83,"114x7,0-М",114,7,0.1143,0.1003,19.19,7.9,17.19,1076,78.9,121,,7.9
84,"73x5,5- СП",73,10.5,0.084,0.063,2.2,3.12,8.51,220,71,78.5,,3.12
